id,description,author_username,author_id,likes,shares,comments,plays,video_url,created_time
,,,,,,,,,0
7489463680103501078,#willimiti #fyp #gönnfy ,willimiti,6978125087917507590,287700,124900,2964,4400000,,1743776656
7492098562906459410,Physics Is Overrated🤷‍♂️💪🥏 - - #physics #frisbee #freestyle #fyp #beach #challenge #trickshot #duo #skills ,frisbeeyourself,7254517768723710977,1500000,59200,3104,17100000,https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/oUUgoICIy7PAKofkdQE9CF8IjDyDpAfooQfXYN/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1342&bt=671&cs=0&ds=3&ft=-Csk_mgdPD12NiWyuh-Uxt~2hY3W3wv25VcAp&mime_type=video_mp4&qs=0&rc=cnF8b2hsc2d3SkBwaHIxaDFybndmNzNmNWZmNWc0ZGc7NzQ1Z0BpajlqZXc5cmxueTMzODczNEBjRl5Nc3FePmJKYSNvYF90aHFmOiNgMWIxL2JfNTUxNmIvYGMtYSNmbGpuMmQ0Y3BgLS1kMTFzcw%3D%3D&btag=e000b0000&expire=1745150056&l=20250418195401E840E2279131281287AA&ply_type=2&policy=2&signature=01495fd03794b420bd0cde0ff8af99f3&tk=tt_chain_token,1744390137
7485053774524910891,"ok baby, relax on the facts",nina,6636141494901571590,6000000,273100,15400,53300000,https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c799-us/ocdRkfQhAHAPjVw8HAWkBheJZeFjsIA9MCIjnX/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1966&bt=983&cs=0&ds=3&ft=-Csk_mgdPD12NiWyuh-Uxt~2hY3W3wv25VcAp&mime_type=video_mp4&qs=0&rc=ZTdkaTY4NDhpMzQ5NmU7aEBpamZrdGw5cmY3eTMzZzczNEAtLmAvNjReNl4xYS4vNGA0YSNlZjRzMmRjLmRgLS1kMS9zcw%3D%3D&btag=e000b0000&expire=1745150048&l=20250418195401E840E2279131281287AA&ply_type=2&policy=2&signature=32f83b4690434655cbb816bdafb3f649&tk=tt_chain_token,1742749929
7485475475280694550,Remember? ,zah1de_kyc,6836358130437211142,1200000,13100,6650,13500000,,1742848077
7493232804663217463,,korxh19,7436395331224519736,2100000,515000,23100,21400000,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/o0pWiCzfge4jAIR5PBEDVZi5ITC9SUfTCgQlBb/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=2038&bt=1019&cs=0&ds=3&ft=-Csk_mgdPD12NiWyuh-Uxt~2hY3W3wv25VcAp&mime_type=video_mp4&qs=0&rc=ZGk5OGk2aTk4NDVlNWY8ZUBpajM4OHI5cm5ueTMzNzczM0BjMS5iYS00X2MxYDQ2YzIwYSNmNF4uMmRzcnJgLS1kMTZzcw%3D%3D&btag=e000b0000&expire=1745150053&l=20250418195401E840E2279131281287AA&ply_type=2&policy=2&signature=80d3512eaa0e51ab6eec3d8e9a100e15&tk=tt_chain_token,1744654224
7491987584449596694,speedrun brainrot animals  tralalerotralala,daachnikk,7470274942718968864,1300000,396500,6859,15300000,https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-ve-0068c001-no/oUgGejDPF8xxWXaF68HMiAAII5L8ApwfERHeQc/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1074&bt=537&cs=0&ds=3&ft=-Csk_mgdPD12NiWyuh-Uxt~2hY3W3wv25VcAp&mime_type=video_mp4&qs=0&rc=ZTNmOjg7N2ZoNGg4OGU7NUBpamg3NHk5cm9oeTMzbzczNUBhM2FeNjZgXzIxMl81YjY1YSNjYXBfMmQ0MnBgLS1kMTFzcw%3D%3D&btag=e00088000&expire=1745150072&l=20250418195401E840E2279131281287AA&ply_type=2&policy=2&signature=843dd6222b8376a9047039f2445df4f3&tk=tt_chain_token,1744364298
7488415299222375702,#police #polisen #polis#polizei #netflixseries #hbo #hbomax #policeofficer #stockholm #policeoftiktok @Netflix Sverige @Netflix @HBO ,jojosweden5,7215936757689992198,55100,6119,2236,2200000,https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-ve-0068c001-no/oUaRAQ2BjQpgPAZ8Y5I2fGHJ87JMIDXHIjeLKf/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=2834&bt=1417&cs=0&ds=3&ft=-Csk_mgdPD12NiWyuh-Uxt~2hY3W3wv25VcAp&mime_type=video_mp4&qs=0&rc=aDwzOzM2ZDM2OjNlZTNnOkBpM3huOng5cjM2eTMzbzczNUAyMl9fLmNjXy0xLi42M182YSNtc3BuMmRzMWpgLS1kMTFzcw%3D%3D&btag=e00090000&expire=1745150173&l=20250418195401E840E2279131281287AA&ply_type=2&policy=2&signature=1870c05dcabc072aaab42a8d86769fa9&tk=tt_chain_token,1743532557
7493469801654881542,#vairalvideo_foryoupage  #🇦🇫ازبک_تاجک_پشتون_ترکمن_هز ,afgcap.cut,7461541069958153234,15800,451,258,365200,https://webapp-va.tiktok.com/88847b04ddf03213de70ce70ab615c75/6804e06c/kmoat/mps/logo/v3/r/p/v09044g40000cvv2dnvog65tk8ilmaig/7f5e58e1afd04e9cb34fce14b5be0876/ea3d289b8a74d773b848a33bf5591fa3/mp4/main.mp4?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=0&bt=0&cs=0&ds=3&ft=bLZkJmgdPD12NUWyuh-UxDJ5SY3W3wv25BcAp&mime_type=video_mp4&qs=0&rc=cnF8b2hsc2d3SkBwaHIxaDFybndmOTtoODdoaTZmaDNpNDtoaUBpamRvO3c5cnE1eTMzNzczM0BjRl5Nc3FePmJKYSNvYF90aHFmOiM0LV9fLmAxXzYxYV5iMjI0YSNmamZoMmRzYXNgLS1kMTZzcw%3D%3D&btag=e000b8000&definition=720p&du=17&item_id=7493469801654881542&l=202504181954039B13A23BB96786126098&logo_type=tiktok_creator&ply_type=2&policy=eyJ2bSI6MiwiY2siOiJ0dF9jaGFpbl90b2tlbiJ9&sign_params=item_id%2Cuser_text&user_text=afgcap.cut,1744709406
7489932324423978262,#fyp #videoviral #relatable #ukcomedy ,amzszinotv,7196125982942643205,4100000,829800,16000,33300000,https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-ve-0068c001-no/ocUjgAfck8Ig86RfExgKQTFEmuDG6n0rDPFZBy/?a=1988&bti=ODszNWYuMDE6&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=2390&bt=1195&cs=0&ds=3&ft=-Csk_mgdPD12NUWyuh-UxDJ5SY3W3wv25BcAp&mime_type=video_mp4&qs=0&rc=OjM1OThnaGVpNjk1OzRoM0BpMzZudWo5cmZzeTMzbzczNUA1YDYtY2A0NjMxXjQyMjRjYSNjZ2Q1MmRjXmxgLS1kMTFzcw%3D%3D&btag=e000b0000&expire=1745150053&l=202504181954039B13A23BB96786126098&ply_type=2&policy=2&signature=1e1b4d7cbf14b4e31a272e01afb49bbe&tk=tt_chain_token,1743885767
